disk_reference,duration,start,channel,title,description,scrid,pcrid
5091130108400651287,2700,2007-07-25 15:45:00 +0100,BBC Two,Flog It!,Paul Martin gets a bird's eye view of Portsmouth from the famous Spinnaker tower and takes a closer look at some exquisite miniature furniture. [S],crid://fp.bbc.co.uk/KCI58J,crid://fp.bbc.co.uk/5416GF
5091131396886645925,900,2007-07-25 15:50:00 +0100,BBC One,Skunk Fu,CBBC. The Art of Turtle Watching: On a glorious snow day Skunk is given the boring job of babysitting a hibernating turtle. But Skunk's day is more exciting than he wished for. [S],crid://fp.bbc.co.uk/KCJAO8,crid://fp.bbc.co.uk/SIH5E
5091133973883472181,3600,2007-07-25 16:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091135262357212331,1500,2007-07-25 16:05:00 +0100,BBC One,Mortified,"CBBC. Leaving Primary: The last day of primary school arrives and it seems that Taylor's circle of friends is being ripped apart, as they all head off to different high schools. [S]",crid://fp.bbc.co.uk/KCJAVG,crid://fp.bbc.co.uk/SIHFV
5091141704808156360,1800,2007-07-25 16:30:00 +0100,BBC One,Tracy Beaker,"CBBC. Tracy continues to be annoyed by Wilson, but how will she react to his revelation? Plus, the kids discover something buried in the garden, and Justine tells everyone Tracy's secret. [AD,S]",crid://fp.bbc.co.uk/KCI4U5,crid://fp.bbc.co.uk/4CBMP3
5091141704812350482,2700,2007-07-25 16:30:00 +0100,BBC Two,Ready Steady Cook,It's amazing what a fabulous feast these chefs can create in just 20 minutes. Brian Turner and Phil Vickery join Ainsley Harriott in the Ready Steady Cook kitchen. [S],crid://fp.bbc.co.uk/KCI4K7,crid://fp.bbc.co.uk/35W28H
5091149435749289133,1500,2007-07-25 17:00:00 +0100,BBC One,Only in America,"CBBC. Fearne Cotton and Reggie Yates are sent on a roadtrip of a lifetime around the USA to discover the weird, wacky and wonderful things the US has to offer. [S]",crid://fp.bbc.co.uk/KCIMV0,crid://fp.bbc.co.uk/4CBP2U
5091149435765737805,3600,2007-07-25 17:00:00 +0100,BBC News 24,BBC Five O'Clock News with Huw Edwards,"Presented by Huw Edwards, the BBC Five O'Clock News Hour with in-depth discussions and analysis as well as breaking news.","",""
5091153301224049672,2700,2007-07-25 17:15:00 +0100,BBC Two,The Weakest Link,"Nine contestants must play as a team to build up the prize fund and then act ruthlessly to remain in the game as, round by round, the weakest link is removed. [S]",crid://fp.bbc.co.uk/KCI4K9,crid://fp.bbc.co.uk/1RSI50
5091155878200233140,600,2007-07-25 17:25:00 +0100,BBC One,Newsround,CBBC. Daily news magazine keeping you up to date on the latest stories and events happening at home and abroad. [S],crid://fp.bbc.co.uk/KCI67I,""
5091158455180610756,1500,2007-07-25 17:35:00 +0100,BBC One,Neighbours,"Mary traps her own son with Pepper. Karl and Susan grapple with unresolved issues. Jealous Lolly feels she has to live up to Janae's standards to impress Lou. [AD,S]",crid://fp.bbc.co.uk/KCI281,crid://fp.bbc.co.uk/4J5CHE
5091164897631554770,1800,2007-07-25 18:00:00 +0100,BBC One,BBC News,"National and international news from the BBC, followed by Weather. [S]",crid://fp.bbc.co.uk/KCI4LN,""
5091164897635748910,3600,2007-07-25 18:00:00 +0100,BBC Two,Animal Park: Wild on the West Coast,"A record-breaking great white shark starts snacking on its neighbours, Kate Humble gets her hands on a huge green turtle and a pair of dolphins helps scientists to save their species. [S]",crid://fp.bbc.co.uk/KCJB88,crid://fp.bbc.co.uk/35W3FC
5091164897648003400,1800,2007-07-25 18:00:00 +0100,BBC News 24,BBC Six O'Clock News,National and international news from the BBC.,"",""
5091172628572687527,1800,2007-07-25 18:30:00 +0100,BBC One,BBC London News,The latest stories from the BBC London newsroom. [S] Followed by the national headlines and Weather.,crid://fp.bbc.co.uk/KCI7Z5,""
5091172628589136190,900,2007-07-25 18:30:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091176494059702582,900,2007-07-25 18:45:00 +0100,BBC News 24,Sportsday,A round up of all the day's sports events.,crid://fp.bbc.co.uk/KCIKQC,""
5091180359513820362,1800,2007-07-25 19:00:00 +0100,BBC One,The One Show,The new live topical magazine show hosted by Adrian Chiles and Myleene Klass that takes a fresh look every weeknight at the Britain we're in. [S],crid://fp.bbc.co.uk/KCIWIS,crid://fp.bbc.co.uk/4AYPVN
5091180359518014486,1800,2007-07-25 19:00:00 +0100,BBC Two,The Hairy Bikers' Cookbook,"Si and Dave Do Vietnam: Si and Dave cook shrimp and pork on sugar cane in the middle of a frenzied ferry landing, then chow down on Vietnam War fare: deep-fried scorpions and coconut worms. [S]",crid://fp.bbc.co.uk/KCINR8,crid://fp.bbc.co.uk/35W1Z7
5091180359526074133,2700,2007-07-25 19:00:00 +0100,BBC Three,Doctor Who,"11/13. Utopia: Jack's back! As Captain Jack storms back into the Doctor's life, the Tardis is thrown to the end of the universe itself. [AD,S]",crid://fp.bbc.co.uk/KCJ6W4,crid://fp.bbc.co.uk/54BW1N
5091180359530268986,3600,2007-07-25 19:00:00 +0100,BBC News 24,News 24 Tonight,"The best of the BBC's journalism from all of the BBC's television outlets. Featuring stories from the One and Six O'Clock News bulletins, Breakfast, BBC World and national and regional newsrooms.","",""
5091180360344030278,1800,2007-07-25 19:00:00 +0100,BBC Four,World News Today,"The latest national and international news, exploring the day's events from a global perspective. Followed by a weather update.",crid://fp.bbc.co.uk/KCI927,""
5091188090454955963,1800,2007-07-25 19:30:00 +0100,BBC One,Troubled Waters: An Inside Out Special,The current affairs programme looks at the current flood situation.,"",""
5091188090459147296,1800,2007-07-25 19:30:00 +0100,BBC Two,The Simpsons: A Culture Show Special,"20 years ago a family called The Simpsons first appeared on American television, this Culture Show special provides an insight into why the show may just be the best programme ever. [S]",crid://fp.bbc.co.uk/KCIF2S,crid://fp.bbc.co.uk/56URZK
5091188091285163074,1800,2007-07-25 19:30:00 +0100,BBC Four,Indian School,"10/10. Exam Fever: This programme follows Head Girl Vallarie as she considers life after school, Parth, who struggles with parental pressure and eight-year-old Devika as she sits her exams. [AD,S]",crid://fp.bbc.co.uk/KCJ8TK,crid://fp.bbc.co.uk/3QSBZU
5091191955937773332,900,2007-07-25 19:45:00 +0100,BBC Three,Doctor Who Confidential,"11/13. 'Ello 'Ello 'Ello: After being left alone by the Doctor in series one, Captain Jack Harkness returns and there's an interview with the actor who plays him, John Barrowman. [S] Then 60 Seconds.",crid://fp.bbc.co.uk/KCJ6WQ,crid://fp.bbc.co.uk/1RH8QH
5091195821396085968,1800,2007-07-25 20:00:00 +0100,BBC One,The National Lottery Jet Set 2012,Eamonn Holmes presents a fast-moving Olympic-themed quiz show that offers contestants a chance to win a once-in-a-lifetime trip across the globe. Includes the Dream Number draw from Lottery HQ. [S],crid://fp.bbc.co.uk/KCJ9VC,crid://fp.bbc.co.uk/35VAP8
5091195821400280060,3600,2007-07-25 20:00:00 +0100,BBC Two,Top Gear: Polar Special,"Jeremy Clarkson, James May and Richard Hammond are racing to the North Pole, Jeremy and James are in a specially adapted pick-up truck, while Richard is on a sled pulled by a team of huskies. [AD,S]","",crid://fp.bbc.co.uk/2FCYTC
5091195821408339742,3600,2007-07-25 20:00:00 +0100,BBC Three,Anthea Turner: Perfect Housewife,"8/8. Anthea takes on Tina, mum of four untidy tearaways whose house is choking with dust; and Tracey, a hairdresser with horrendous hoarding habits and a happy go lucky husband. [S] Then 60 Seconds.",crid://fp.bbc.co.uk/KCJ96C,crid://fp.bbc.co.uk/35VAHH
5091195821412534588,3600,2007-07-25 20:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091195822226295868,1800,2007-07-25 20:00:00 +0100,BBC Four,Life in the Freezer,3/6. The Race to Breed: David Attenborough looks at the effects the summer has on the life in the Antarctic as the season progresses and the race to complete breeding before winter begins. [S],crid://fp.bbc.co.uk/KCJBD8,crid://fp.bbc.co.uk/541ZWY
5091203552337218766,1800,2007-07-25 20:30:00 +0100,BBC One,Vet Safari,It's too hot for capture in South Africa so the Rambert family take a busman's holiday to the jungles of Borneo. Emma volunteers as a vet at a sanctuary where Orangutans are rehabilitated. [S],crid://fp.bbc.co.uk/KCIWS8,crid://fp.bbc.co.uk/5415UG
5091203553167428659,1800,2007-07-25 20:30:00 +0100,BBC Four,Life in the Freezer,"4/6. The Door Closes: Penguins and elephant seals moult their coats as the sea begins to freeze over and Winter approaches, and all Antarctic species prepare to migrate north to warmer climates. [S]",crid://fp.bbc.co.uk/KCJBD8,crid://fp.bbc.co.uk/541ZWZ
5091211283278351542,3600,2007-07-25 21:00:00 +0100,BBC One,Crimewatch Solved,"How the past caught up with the murderer obsessed with the occult and secret codes, the 22-year hunt for the Salisbury sex attacker, and the armed bank robbery with more than a little inside help. [S]",crid://fp.bbc.co.uk/KCI19I,crid://fp.bbc.co.uk/4AYQ1T
5091211283282545694,2400,2007-07-25 21:00:00 +0100,BBC Two,Heroes,"1/23. Genesis: As a total eclipse casts its shadow across the globe, a genetics professor in India is led by his father's disappearance to uncover a secret theory. Moderate violence. [AD,S]",crid://fp.bbc.co.uk/KCJB9W,crid://fp.bbc.co.uk/4J5EBK
5091211283290605632,3600,2007-07-25 21:00:00 +0100,BBC Three,The Real Dirty Dancing,Documentary in which professional dancer Jo King tries to transform a group of uptight newcomers in search of sexual confidence into a troupe of striptease divas. Some nudity. [S] Then 60 Seconds.,"",crid://fp.bbc.co.uk/35W3SI
5091211283294800207,3600,2007-07-25 21:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break. Also featuring Entertainment 24 with the latest showbiz news.,"",""
5091211284108561471,3600,2007-07-25 21:00:00 +0100,BBC Four,Absolute Zero,"2/2. The Race for Absolute Zero: Part of the Science You Can't See season. Scientists James Dewar and Heike Kammerlingh Onnes compete to reach within a few degrees of Absolute Zero. [AD,S]",crid://fp.bbc.co.uk/KCJBD9,crid://fp.bbc.co.uk/35W20Z
5091221591204056069,2400,2007-07-25 21:40:00 +0100,BBC Two,Heroes,"2/23. Don't Look Back: As people around the world find their lives disrupted by their new, extraordinary abilities, authorities investigate several bizarre, gruesome murders. Moderate violence. [AD,S]",crid://fp.bbc.co.uk/KCJB9W,crid://fp.bbc.co.uk/4J5EBL
5091226745160617139,1500,2007-07-25 22:00:00 +0100,BBC One,BBC Ten O'Clock News,"National and international news, with reports from BBC correspondents worldwide. [S]",crid://fp.bbc.co.uk/KCI4LO,""
5091226745172870937,1800,2007-07-25 22:00:00 +0100,BBC Three,Little Britain,"3/6. Matt Lucas and David Walliams take a comic look at life in Britain. Contains adult humour. [AD,S]",crid://fp.bbc.co.uk/KCJ0KC,crid://fp.bbc.co.uk/1RSIH7
5091226745177065791,3600,2007-07-25 22:00:00 +0100,BBC News 24,BBC Ten O'Clock News Hour,"The BBC's Ten O'Clock News Hour, including Sportsday at 10.30pm, plus all the day's business and the first review of tomorrow morning's newspapers. [S]",crid://fp.bbc.co.uk/KCIOF4,""
5091226745990827060,1800,2007-07-25 22:00:00 +0100,BBC Four,Masterpieces of the East,6/6. The Tara Statue: The near life size bronze statue of the goddess Tara from the 7th or 8th century AD was found in Sri Lanka and brought back by Sir Robert Brownrigg during the 19th century. [S],crid://fp.bbc.co.uk/KCJ9RG,crid://fp.bbc.co.uk/54BXJ9
5091231899125566475,600,2007-07-25 22:20:00 +0100,BBC Two,Heroes Unmasked,"A New Dawn: Insightful interviews and exclusive backstage access introducing us to the characters and creators of the series 'Heroes'. [AD,S]",crid://fp.bbc.co.uk/KCJBMO,crid://fp.bbc.co.uk/1RFQOX
5091233187611561117,600,2007-07-25 22:25:00 +0100,BBC One,BBC London News,The latest stories from the BBC London newsroom. Followed by the national headlines and Weather. [S],crid://fp.bbc.co.uk/KCI7ZG,""
5091234476105944098,3000,2007-07-25 22:30:00 +0100,BBC Two,Newsnight,The Battle for Islam - A Newsnight Special: A report on the struggle and crisis within Islam. Guests include former Pakistani PM Benazir Bhutto and scholar Reza Aslan. [S] Followed by weather.,crid://fp.bbc.co.uk/KCI4LK,""
5091234476114003738,3300,2007-07-25 22:30:00 +0100,BBC Three,Last Man Standing,"5/8. Mongolian Wrestling: The lads live as Mongolian nomads, with relentless training for a professional wrestling tournament. Strong language and some upsetting scenes. [S] Then 60 Seconds.",crid://fp.bbc.co.uk/KCJ9WI,crid://fp.bbc.co.uk/2FCYWU
5091234476931959867,3600,2007-07-25 22:30:00 +0100,BBC Four,Smokey Dives,"George Melly Remembered. Showing as a tribute to George Melly, this programme looks at the impact of the traditional jazz scene on post war Britain. Some strong language. [S]","",crid://fp.bbc.co.uk/35ZNJP
5091235764591938744,300,2007-07-25 22:35:00 +0100,BBC One,National Lottery Draws,"Jenni Falconer presents the midweek Dream Number, Thunderball and Lotto draws. [S]",crid://fp.bbc.co.uk/KCI68G,""
5091237053082127554,3600,2007-07-25 22:40:00 +0100,BBC One,Lucy: Teen Transsexual,Lucy is the youngest transsexual in Britain. She attempts to document the psychological and emotional journey to rid herself of the male body she was born with. Adult themes. [S],"",crid://fp.bbc.co.uk/35W48A
5091242207059331403,1800,2007-07-25 23:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091247361007832112,1800,2007-07-25 23:20:00 +0100,BBC Two,Hyperdrive,"Artefact: When presented with a mysterious object Henderson can't help but try to return it to its rightful owners, despite York's warnings that it's a classic hero trap. Adult humour. [S]",crid://fp.bbc.co.uk/KCJB9C,crid://fp.bbc.co.uk/5A57DF
5091248649506080835,3600,2007-07-25 23:25:00 +0100,BBC Three,Road Rage Revenge,"Fed up with traffic jams and public transport nightmares, Alex Riley decides to take revenge on those responsible for Britain's transport woes. Some strong language. [S]","",crid://fp.bbc.co.uk/4KU3ZV
5091249938000464206,1800,2007-07-25 23:30:00 +0100,BBC News 24,HARDtalk,"Allan Little talks to Ronald Noble, the Secretary General of Interpol, about the role of the organisation in the modern world and how reliable it really is.",crid://fp.bbc.co.uk/KCJ88H,""
5091249938814225466,900,2007-07-25 23:30:00 +0100,BBC Four,George Melly and John Chilton's....,"...Feetwarmers: Showing as part of George Melly Remembered, George Melly and John Chilton's Feetwarmers in a concert filmed at the Brecon Jazz Festival in 2000. [S]","",crid://fp.bbc.co.uk/54BUMI
5091252514964393150,5400,2007-07-25 23:40:00 +0100,BBC One,Mother's Boys,"Three years after abandoning her husband and three young sons, a woman returns home begging for forgiveness. Some strong language. [1993][S]","",crid://fp.bbc.co.uk/4J3WFC
5091253804284791872,1800,2007-07-25 23:45:00 +0100,BBC Four,Art and Design: The Journey: Arena,"Showing as part of George Melly Remembered: From 1978, George Melly visits the Surrealism exhibition at the Hayward Gallery and talks about the influence of Dada and Surrealism on his early life. [S]","",crid://fp.bbc.co.uk/WEV01
5091255091948964900,1800,2007-07-25 23:50:00 +0100,BBC Two,Mock the Week,"Comedy show hosted by Dara O'Briain, with regulars Hugh Dennis, Frankie Boyle, Andy Parsons and Russell Howard, joined by guest Rhod Gilbert. Some strong language. [S]",crid://fp.bbc.co.uk/KCIIF0,crid://fp.bbc.co.uk/35VAYT
5091257668941597014,1800,2007-07-26 00:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091261535225924670,3600,2007-07-26 00:15:00 +0100,BBC Four,Absolute Zero,"2/2. The Race for Absolute Zero: Part of the Science You Can't See season. Scientists James Dewar and Heike Kammerlingh Onnes compete to reach within a few degrees of Absolute Zero. [AD,S]","",crid://fp.bbc.co.uk/35W20Z
5091262822890097657,3600,2007-07-26 00:20:00 +0100,BBC Two,The Music of the Primes,"BBC FOUR on BBC TWO. For 2000 years, mathematicians have wrestled with an enigma: the pattern of prime numbers. Marcus du Sautoy tells the stories of those that have tried to crack the code. [S]",crid://fp.bbc.co.uk/KCI961,crid://fp.bbc.co.uk/4AYPFN
5091264111388346139,1800,2007-07-26 00:25:00 +0100,BBC Three,Two Pints of Lager and...,"...a Packet of Crisps. 5/8. Purgatory: Gaz tries to get over his guilt by doing a special thing for Donna. Janet holds a party for Louise's graduation. Adult humour. [AD,S]",crid://fp.bbc.co.uk/KCIVZC,crid://fp.bbc.co.uk/1RSHPH
5091265399882729821,1800,2007-07-26 00:30:00 +0100,BBC News 24,World Business Report,"From London and New York, World Business Report brings not just the headlines but the explanation behind the headlines and an examination of the trends in technology and the world of business.","",""
5091271842329478941,1800,2007-07-26 00:55:00 +0100,BBC Three,Two Pints of Lager and...,"...a Packet of Crisps. 6/8. Mate Date: Gaz goes on a quest to split Jonny and Kate. Jonny gets an ultimatum and Janet gets a new boss from hell. Adult humour. [AD,S]",crid://fp.bbc.co.uk/KCIVZC,crid://fp.bbc.co.uk/1RSHPI
5091273130823862636,1800,2007-07-26 01:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091275707787791515,300,2007-07-26 01:10:00 +0100,BBC One,Weather View,Detailed weather forecast.,crid://fp.bbc.co.uk/KCI7YZ,""
5091276996277980316,3600,2007-07-26 01:15:00 +0100,BBC One,Coast,"Galway to Baltimore: The Coast experts are exploring brand new territory - the wild west coast of Ireland, from Galway Bay to the Fastneck Rock, Ireland's most southerly point. [AD,S,SL]",crid://fp.bbc.co.uk/KCIL3E,crid://fp.bbc.co.uk/53TYB5
5091276997108190269,1800,2007-07-26 01:15:00 +0100,BBC Four,Indian School,"10/10. Exam Fever: This programme follows Head Girl Vallarie as she considers life after school, Parth, who struggles with parental pressure and eight-year-old Devika as she sits her exams. [ADS]",crid://fp.bbc.co.uk/KCJ8TL,crid://fp.bbc.co.uk/3QSBZU
5091278284772363288,2700,2007-07-26 01:20:00 +0100,BBC Two,Kingdom Hospital,"Seizure Day: When two different patients have seizures, they awaken to frightening visions of the living dead haunting Kingdom Hospital's halls. Some upsetting scenes. [AD,S]",crid://fp.bbc.co.uk/KCICMJ,crid://fp.bbc.co.uk/4J5DHV
5091279573270612033,3300,2007-07-26 01:25:00 +0100,BBC Three,The Real Dirty Dancing,Documentary in which professional dancer Jo King tries to transform a group of uptight burlesque newcomers in search of sexual confidence into a troupe of sexy striptease divas. Some nudity. [S],"",crid://fp.bbc.co.uk/35W3SI
5091280861764995427,1800,2007-07-26 01:30:00 +0100,BBC News 24,World News Tonight,"The latest news from America, as reported by the ABC television network's flagship evening news programme.","",""
5091284728049323075,1800,2007-07-26 01:45:00 +0100,BBC Four,Masterpieces of the East,"6/6. The Tara Statue: The near life size bronze statue of the goddess Tara from the 7th or 8th century AD was found in Sri Lanka, and brought back by Sir Robert Brownrigg during the 19th century. [S]",crid://fp.bbc.co.uk/KCJ9RH,crid://fp.bbc.co.uk/54BXJ9
5091288592706128222,1800,2007-07-26 02:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091289881184062466,2400,2007-07-26 02:05:00 +0100,BBC Two,Kingdom Hospital,"Shoulda Stood in Bed: When Peter Rickman has yet another seizure, he witnesses the eventual fate of Kingdom Hospital. Some upsetting scenes. [AD,S]",crid://fp.bbc.co.uk/KCICMJ,crid://fp.bbc.co.uk/4J5DHW
5091292458160245948,3600,2007-07-26 02:15:00 +0100,BBC One,"Mary, Queen of Shops","Mary is in the South Yorkshire town of Doncaster to help turnaround Homeboy, a boutique trying to sell men's and women's wear to the party crowd. [AD,S,SL]",crid://fp.bbc.co.uk/KCJAR0,crid://fp.bbc.co.uk/35W3LF
5091292458990455873,3600,2007-07-26 02:15:00 +0100,BBC Four,Smokey Dives,George Melly Remembered. Showing as a tribute to George Melly this programme looks at the impact of the traditional jazz scene on post war Britain. Some strong language. [S],"",crid://fp.bbc.co.uk/35ZNJP
5091293746662688543,3600,2007-07-26 02:20:00 +0100,BBC Three,Anthea Turner: Perfect Housewife,"8/8. Anthea takes on Tina, mum of four untidy tearaways whose house is choking with dust; and Tracey, a hairdresser with horrendous hoarding habits and a happy go lucky husband. [S]",crid://fp.bbc.co.uk/KCJ96D,crid://fp.bbc.co.uk/35VAHH
5091296323647261034,1800,2007-07-26 02:30:00 +0100,BBC News 24,The Record,Highlights of the day in Parliament.,"",""
5091300189105572855,11700,2007-07-26 02:45:00 +0100,BBC Two,BBC News 24,"BBC TWO joins the BBC's rolling news channel, with bulletins on the hour and the headlines every 15 minutes.",crid://fp.bbc.co.uk/KCI10Q,""
5091304054588393825,1800,2007-07-26 03:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091307920042511565,3600,2007-07-26 03:15:00 +0100,BBC One,Paris,"Blood and Chocolate: Art historian Sandrine Voillet traces the history of Paris from its origins on an island in the River Seine to its emergence as a hotbed of revolution. Adult themes. [AD,S,SL]",crid://fp.bbc.co.uk/KCJB4W,crid://fp.bbc.co.uk/4AYPM3
5091307920872721465,3600,2007-07-26 03:15:00 +0100,BBC Four,Absolute Zero,"2/2. The Race for Absolute Zero: Part of the Science You Can't See season. Scientists James Dewar and Heike Kammerlingh Onnes compete to reach within a few degrees of Absolute Zero. [AD,S,SL]","",crid://fp.bbc.co.uk/35W20Z
5091309208544954434,3600,2007-07-26 03:20:00 +0100,BBC Three,"Honey, We're Killing the Kids","3/8. Sarah Billing comes face to face with an image of her sons aged 40 and the future is looking bleak. Fortunately, child psychology expert, Kris Murrin, is on hand to help. [S,SL]",crid://fp.bbc.co.uk/KCJALI,crid://fp.bbc.co.uk/4RHDM5
5091311785529526642,1800,2007-07-26 03:30:00 +0100,BBC News 24,World Business Report,"From London and New York, World Business Report brings not just the headlines but the explanation behind the headlines and an examination of the trends in technology and the world of business.","",""
5091319516470659437,1800,2007-07-26 04:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091323381924777135,6300,2007-07-26 04:15:00 +0100,BBC One,BBC News 24,"BBC ONE joins the BBC's rolling news channel for a night of news, with bulletins on the hour and the headlines every 15 minutes. [S]",crid://fp.bbc.co.uk/KCI7YY,""
5091327247411792213,1800,2007-07-26 04:30:00 +0100,BBC News 24,HARDtalk,"Allan Little talks to Ronald Noble, the Secretary General of Interpol, about the role of the organisation in the modern world and how reliable it really is.",crid://fp.bbc.co.uk/KCJ88G,""
5091334978352925045,1800,2007-07-26 05:00:00 +0100,BBC News 24,The World Today,The latest international news.,"",""
5091342709294057823,1800,2007-07-26 05:30:00 +0100,BBC News 24,World Business Report,"The latest business news from around the world with live reports from Singapore, Frankfurt and London and the news of what happened overnight in New York.","",""
5091350440218742245,11700,2007-07-26 06:00:00 +0100,BBC One,Breakfast,"Start your day with all the latest news, sport, business and weather from the BBC's Breakfast team. Includes regional news at 25 and 55 minutes past each hour. [S]",crid://fp.bbc.co.uk/KCI7Z3,""
5091350440222936322,1200,2007-07-26 06:00:00 +0100,BBC Two,Fimbles,CBeebies. Wheelbarrow: Fimbo discovers a wheelbarrow. [S],crid://fp.bbc.co.uk/KCI84I,crid://fp.bbc.co.uk/4CBNQC
5091350440235190632,9000,2007-07-26 06:00:00 +0100,BBC News 24,Breakfast,"Start your day with all the latest news, sport, business and weather from the BBC's Breakfast team.","",""
5091355594183691501,900,2007-07-26 06:20:00 +0100,BBC Two,Story Makers,"CBeebies: Growing: Jessie grows cress, Geranium gets too hot and Blue Cow visits Holland. [AD,S] Followed by Tweenies Songtime.",crid://fp.bbc.co.uk/KCI8JT,crid://fp.bbc.co.uk/4CBCH6
5091359459654257892,1500,2007-07-26 06:35:00 +0100,BBC Two,Balamory,"CBeebies. The Sandcastle: Spencer and his cousin are planning to go to the beach today to build sandcastles, but when Spencer goes to the shop to buy a bucket and spade, they've sold out! [AD,S]",crid://fp.bbc.co.uk/KCI84G,crid://fp.bbc.co.uk/56FNQQ
5091365902105201905,900,2007-07-26 07:00:00 +0100,BBC Two,Numberjacks,"CBeebies. In, Out, Shake it All About: 3 is playing with her beautiful things and the boing ball, and is making a mess. A girl is having trouble with her pencil case. [S] Then CBeebies Birthdays.",crid://fp.bbc.co.uk/KCIZGC,crid://fp.bbc.co.uk/4CDJRX
5091369767575768294,900,2007-07-26 07:15:00 +0100,BBC Two,Tommy Zoom,"CBeebies. I Don't Want a Shower: Will Tommy Zoom and Daniel stop Polluto and Smogg from turning the world into a dripping, muddy ball? [S]",crid://fp.bbc.co.uk/KCJ69W,crid://fp.bbc.co.uk/4CDLT9
5091373633046334679,1800,2007-07-26 07:30:00 +0100,BBC Two,In the Night Garden,CBeebies. Pinky Ponk Adventure: The Pinky Ponk gets stuck in a tree and tips up. Everybody slides up one end and they rock back and forth. [S],crid://fp.bbc.co.uk/KCJ6B0,crid://fp.bbc.co.uk/4CDJUP
5091381363987467509,2700,2007-07-26 08:00:00 +0100,BBC Two,Do Something Different,CBBC. Sam and Mark hit the road as they try and get UK children to 'Do Something Different'. [S],crid://fp.bbc.co.uk/KCJ6YW,crid://fp.bbc.co.uk/4CDMRK
5091389094940854615,1800,2007-07-26 08:30:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091392960399166737,600,2007-07-26 08:45:00 +0100,BBC Two,Mona the Vampire,"CBBC. The Men in the Dark Suits: When UN Secretary General Harundi comes to town, Mona is disturbed to discover that he is under surveillance by the Men In Dark Suits - disguised aliens! [S]",crid://fp.bbc.co.uk/KCI84D,crid://fp.bbc.co.uk/4BAJG2
5091395537379544327,1800,2007-07-26 08:55:00 +0100,BBC Two,SMart,CBBC. Heroes: Mark strolls through Monet's garden and is impressed with what he sees and Kirsten gets clicking with her mouse to become a digital pop art princess. [S],crid://fp.bbc.co.uk/KCI84C,crid://fp.bbc.co.uk/4CBP1U
5091396825881987440,3600,2007-07-26 09:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091400691336105441,2700,2007-07-26 09:15:00 +0100,BBC One,To Buy or Not to Buy,Kristian Digby and Dominic Littlewood are in Hall Green in Birmingham to help first time buyers Ann and Pete find a home they can make their own. [S],crid://fp.bbc.co.uk/KCI7BC,crid://fp.bbc.co.uk/53TY7Q
5091403268320677102,1200,2007-07-26 09:25:00 +0100,BBC Two,What's New Scooby Doo?,CBBC. Uncle Scooby and Antarctica: Scooby Doo and the gang accompany a penguin back to its home in Antarctica and find a finned creature from the sea dragging victims to an icy fate. [S],crid://fp.bbc.co.uk/KCI898,crid://fp.bbc.co.uk/SIGKZ
5091408422281432287,1500,2007-07-26 09:45:00 +0100,BBC Two,Really Wild Show,CBBC. Showoff: Nick and Steve play at showing off with some clever cuttlefish and bold baboons. Michaela finds some giant crickets in New Zealand and Nick shows us how to get close to insects. [S],crid://fp.bbc.co.uk/KCI9B6,crid://fp.bbc.co.uk/541IAR
5091412287747804647,3600,2007-07-26 10:00:00 +0100,BBC One,Animal Rescue Live,HRH Princess Michael of Kent joins Selina Scott and Matt Baker live at Battersea dogs and cats to find homes for animals. [S] Then BBC News and Weather.,crid://fp.bbc.co.uk/KCIV6G,crid://fp.bbc.co.uk/1RSZIP
5091412287764253031,3600,2007-07-26 10:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5091414864732376299,600,2007-07-26 10:10:00 +0100,BBC Two,Watch My Chops,"CBBC. No Place Like Home: Bernie's cousins from the country are in town for a fair. [AD,S]",crid://fp.bbc.co.uk/KCICVD,crid://fp.bbc.co.uk/4BAJTB
5091417441712753924,900,2007-07-26 10:20:00 +0100,BBC Two,Watch My Chops,"CBBC. Double Jeopardy: Bernie's school principal confiscates a video tape from him which shows Corneil talking. [AD,S]",crid://fp.bbc.co.uk/KCICVD,crid://fp.bbc.co.uk/4BAJSI
